episode,regime,protocol,method,iterations,converged,inner_success,objective,calls,scale_hat,floor_hit,movement_prior_units
000f45b4c14a6555ad7ba519,generalized_translation,bounce,huber,3,True,True,0.3137483716052663,22,0.125,False,0.0002881353595909701
000f45b4c14a6555ad7ba519,generalized_translation,bounce,cauchy,4,True,True,0.3137362010113151,21,0.125,False,0.00028821653320793694
000f45b4c14a6555ad7ba519,generalized_translation,bounce,profile_map,29,True,True,-29.607918048982476,255,0.024198320875198683,False,0.0003349453946368436
000f45b4c14a6555ad7ba519,setup_translation,bounce,huber,3,True,True,0.560318992454364,22,0.125,False,0.00014531699587288697
000f45b4c14a6555ad7ba519,setup_translation,bounce,cauchy,4,True,True,0.5602068232436311,21,0.125,False,0.00014450005127493058
000f45b4c14a6555ad7ba519,setup_translation,bounce,profile_map,17,True,True,-25.72380499459461,135,0.039319095478374956,False,0.0001078211693718313
00d2380a34374b3422379c80,generalized_translation,multiple_forces,huber,4,True,True,2.0729454042307163,29,0.125,False,0.00013019270694940036
00d2380a34374b3422379c80,generalized_translation,multiple_forces,cauchy,5,True,True,2.0728374114267516,40,0.125,False,8.482243578706368e-05
00d2380a34374b3422379c80,generalized_translation,multiple_forces,profile_map,52,True,True,-25.363410488614953,450,0.033426479666463615,False,0.08344561903083358
0162ffbc7314fa26b0902775,generalized_translation,multiple_forces,huber,4,True,True,1.86687981900185,31,0.125,False,6.826944138879557e-08
0162ffbc7314fa26b0902775,generalized_translation,multiple_forces,cauchy,5,True,True,1.8644357768856272,42,0.125,False,0.00028567129286711726
0162ffbc7314fa26b0902775,generalized_translation,multiple_forces,profile_map,35,True,True,-19.915046460243584,255,0.08105634829740335,False,0.010470537586983276
0169455d0a4453d4b97b1d38,generalized_translation,multiple_forces,huber,4,True,True,1.3595136843766553,41,0.125,False,1.1422852612310413e-05
0169455d0a4453d4b97b1d38,generalized_translation,multiple_forces,cauchy,5,True,True,1.3594844201758094,34,0.125,False,1.5300901950105304e-05
0169455d0a4453d4b97b1d38,generalized_translation,multiple_forces,profile_map,47,True,True,-27.515802827056177,405,0.02769634669630603,False,0.03812577955970684
0200bfd1b5ecb7df7c060806,generalized_translation,unforced_slide,huber,3,True,True,0.9031255941301202,22,0.125,False,3.1137378439940486e-07
0200bfd1b5ecb7df7c060806,generalized_translation,unforced_slide,cauchy,4,True,True,0.9028552175924456,36,0.125,False,5.281427718929343e-06
0200bfd1b5ecb7df7c060806,generalized_translation,unforced_slide,profile_map,23,True,True,-23.67219048242642,196,0.05022436689735628,False,0.0015942451135792393
020c937c562911454bb27dfc,generalized_translation,unforced_slide,huber,5,True,True,1.649081145290119,23,0.125,False,0.000400128746445978
020c937c562911454bb27dfc,generalized_translation,unforced_slide,cauchy,5,True,True,1.6482159208474016,43,0.125,False,0.0003836850763273326
020c937c562911454bb27dfc,generalized_translation,unforced_slide,profile_map,31,True,True,-21.891036814650782,220,0.0589152428362597,False,0.0039428055828976145
02a20c3874ec9c65b25efcad,generalized_translation,multiple_forces,huber,3,True,True,1.3148077362710864,22,0.125,False,0.01334042720391448
02a20c3874ec9c65b25efcad,generalized_translation,multiple_forces,cauchy,4,True,True,1.3148070185793916,20,0.125,False,0.013340903591055754
02a20c3874ec9c65b25efcad,generalized_translation,multiple_forces,profile_map,43,True,True,-36.29983226094415,530,0.009089166389893636,False,0.007925598101491573
02f1cac934264cf55582acd2,generalized_translation,multiple_forces,huber,7,True,True,0.40146837689764897,44,0.125,False,1.5907071929966348e-08
02f1cac934264cf55582acd2,generalized_translation,multiple_forces,cauchy,5,True,True,0.4013896790628248,31,0.125,False,6.336211177678489e-06
02f1cac934264cf55582acd2,generalized_translation,multiple_forces,profile_map,42,True,True,-26.323451199339097,465,0.03699526133061429,False,0.009177412531051919
030d52257c4ea1e340c938cc,generalized_translation,bounce,huber,3,True,True,28.037965779761734,17,0.125,False,0.1186204549261961
030d52257c4ea1e340c938cc,generalized_translation,bounce,cauchy,7,True,True,27.203941620080588,39,0.125,False,0.11931729290268409
030d52257c4ea1e340c938cc,generalized_translation,bounce,profile_map,28,True,True,-27.65772588000364,280,0.02947983154688324,False,0.0017401643156190036
030d52257c4ea1e340c938cc,setup_translation,bounce,huber,3,True,True,0.8356050864087639,21,0.125,False,0.0007894326925575728
030d52257c4ea1e340c938cc,setup_translation,bounce,cauchy,4,True,True,0.835542834044096,15,0.125,False,0.0007888058459786311
030d52257c4ea1e340c938cc,setup_translation,bounce,profile_map,13,True,True,-26.45223464120047,144,0.03427276780835531,False,0.000992484358484969
032c8a9a77a20ebc81868a34,generalized_translation,unforced_slide,huber,3,True,True,1.0618779337887767,15,0.125,False,0.000380388747840078
032c8a9a77a20ebc81868a34,generalized_translation,unforced_slide,cauchy,4,True,True,1.0617703253712063,19,0.125,False,0.00038529618748504385
032c8a9a77a20ebc81868a34,generalized_translation,unforced_slide,profile_map,31,True,True,-25.834269190702685,256,0.03613454991929064,False,0.004277730382440616
03fad80b24c74c43aa179ec8,generalized_translation,multiple_forces,huber,4,True,True,0.8303388694377503,26,0.125,False,1.885046703522551e-09
03fad80b24c74c43aa179ec8,generalized_translation,multiple_forces,cauchy,5,True,True,0.8296312573752107,25,0.125,False,5.856356881719334e-05
03fad80b24c74c43aa179ec8,generalized_translation,multiple_forces,profile_map,36,True,True,-22.97366304400187,290,0.05651168565900527,False,0.0008856342540850075
04436c226ef7ca9fe28e7f74,generalized_translation,multiple_forces,huber,3,True,True,1.4352658844983937,33,0.125,False,0.40615380038371784
04436c226ef7ca9fe28e7f74,generalized_translation,multiple_forces,cauchy,4,True,True,1.4351817373904272,48,0.125,False,0.4060668634990321
04436c226ef7ca9fe28e7f74,generalized_translation,multiple_forces,profile_map,37,True,True,-28.244493783233644,380,0.024195420396736708,False,0.6812130391318333
0451b9060958afa436fc7839,generalized_translation,bounce,huber,3,True,True,0.8060769309796249,19,0.125,False,0.0020446632602423086
0451b9060958afa436fc7839,generalized_translation,bounce,cauchy,4,True,True,0.8058892392916098,26,0.125,False,0.0020454475707699458
0451b9060958afa436fc7839,generalized_translation,bounce,profile_map,20,True,True,-24.117268899066122,220,0.047711811529265846,False,0.0021401475982895275
0451b9060958afa436fc7839,setup_translation,bounce,huber,3,True,True,1.9929666595499913,20,0.125,False,5.863811766236857e-05
0451b9060958afa436fc7839,setup_translation,bounce,cauchy,5,True,True,1.9904851356173352,27,0.125,False,5.1271596847650524e-05
0451b9060958afa436fc7839,setup_translation,bounce,profile_map,16,True,True,-19.679666693820167,132,0.08304197913985235,False,2.0086538757310866e-05
048155a27ac0d7016e527361,generalized_translation,multiple_forces,huber,5,True,True,1.3111600326361366,34,0.125,False,0.524264991139369
048155a27ac0d7016e527361,generalized_translation,multiple_forces,cauchy,5,True,True,1.3110272030211312,37,0.125,False,0.524190149048738
048155a27ac0d7016e527361,generalized_translation,multiple_forces,profile_map,34,True,True,-25.262923433230874,315,0.0374502567797778,False,0.6193701884761517
0500d6c92019364fd4a1bae8,generalized_translation,multiple_forces,huber,3,True,True,0.9438891926811868,28,0.125,False,2.374245554675151e-05
0500d6c92019364fd4a1bae8,generalized_translation,multiple_forces,cauchy,4,True,True,0.9438492527554531,28,0.125,False,2.2216358695545002e-05
0500d6c92019364fd4a1bae8,generalized_translation,multiple_forces,profile_map,39,True,True,-29.872515388190195,345,0.02120058886969057,False,0.18363214785668483
052d9cf739af17b447bf29fa,generalized_translation,bounce,huber,2,True,True,0.5932946701562525,17,0.125,False,1.583621228443062e-10
052d9cf739af17b447bf29fa,generalized_translation,bounce,cauchy,4,True,True,0.5930005642165078,18,0.125,False,1.801107827369872e-06
052d9cf739af17b447bf29fa,generalized_translation,bounce,profile_map,21,True,True,-24.280875998913736,200,0.048056962780259865,False,2.0573790831236516e-06
052d9cf739af17b447bf29fa,setup_translation,bounce,huber,2,True,True,1.96173470939286,5,0.125,False,2.3943773564700663e-11
052d9cf739af17b447bf29fa,setup_translation,bounce,cauchy,4,True,True,1.9582424969605867,20,0.125,False,1.0653980858772602e-05
052d9cf739af17b447bf29fa,setup_translation,bounce,profile_map,7,True,True,-19.48759636717784,81,0.08749143972840036,False,1.1548901892678052e-06
05670b06ce9094a0fbda6367,generalized_translation,unforced_slide,huber,3,True,True,0.4518552300799047,20,0.125,False,2.7275381942867852e-09
05670b06ce9094a0fbda6367,generalized_translation,unforced_slide,cauchy,4,True,True,0.4516970701010064,19,0.125,False,2.392140121745815e-06
05670b06ce9094a0fbda6367,generalized_translation,unforced_slide,profile_map,18,True,True,-25.45455461803495,148,0.04144740188959694,False,0.00014349778287713424
059b899b8896d727311f752d,generalized_translation,unforced_slide,huber,3,True,True,0.5521973965085478,17,0.125,False,1.2985223231976875e-09
059b899b8896d727311f752d,generalized_translation,unforced_slide,cauchy,4,True,True,0.5519584728244988,21,0.125,False,1.980263095392786e-06
059b899b8896d727311f752d,generalized_translation,unforced_slide,profile_map,20,True,True,-25.036184444624567,168,0.04335161534886861,False,0.00015401786816785908
05b5df226ac996c259bcfa59,generalized_translation,bounce,huber,3,True,True,1.4445607221515424,18,0.125,False,8.44403271918134e-11
05b5df226ac996c259bcfa59,generalized_translation,bounce,cauchy,5,True,True,1.4443921437458331,26,0.125,False,4.7046236131342123e-07
05b5df226ac996c259bcfa59,generalized_translation,bounce,profile_map,29,True,True,-23.381705250770665,335,0.04839588351577232,False,9.326150214245415e-05
05b5df226ac996c259bcfa59,setup_translation,bounce,huber,3,True,True,1.5441460405770597,20,0.125,False,6.406367085715213e-12
05b5df226ac996c259bcfa59,setup_translation,bounce,cauchy,4,True,True,1.5439403492053905,21,0.125,False,1.0658620286883103e-06
05b5df226ac996c259bcfa59,setup_translation,bounce,profile_map,15,True,True,-22.77676280347075,147,0.05218413301688436,False,7.544763388618421e-05
05b9b5e6d0883db2c84b3560,generalized_translation,unforced_slide,huber,3,True,True,2.299161920715958,19,0.125,False,0.001564301020788665
05b9b5e6d0883db2c84b3560,generalized_translation,unforced_slide,cauchy,5,True,True,2.298868499130214,27,0.125,False,0.0015658530407332068
05b9b5e6d0883db2c84b3560,generalized_translation,unforced_slide,profile_map,32,True,True,-23.164555899721847,248,0.04412576999215973,False,0.0020775985786035036
05c4a4bf0aad5cc418f6b6bf,generalized_translation,unforced_slide,huber,3,True,True,0.7773790015923892,17,0.125,False,4.80835275857889e-08
05c4a4bf0aad5cc418f6b6bf,generalized_translation,unforced_slide,cauchy,4,True,True,0.7772424398506705,25,0.125,False,1.1579659016024355e-06
05c4a4bf0aad5cc418f6b6bf,generalized_translation,unforced_slide,profile_map,27,True,True,-24.913677077363417,252,0.04272421063986854,False,0.0004367716198181203
06acaaec409d041c4ecca6e5,generalized_translation,multiple_forces,huber,4,True,True,0.7145673083949476,23,0.125,False,2.420204150447966e-07
06acaaec409d041c4ecca6e5,generalized_translation,multiple_forces,cauchy,7,True,True,0.7141994746009706,32,0.125,False,4.1147744087838644e-05
