method,regime,protocol,coordinate,family_macro_mean,family_macro_median
unit_rgb,generalized_translation,multiple_forces,0,0.04639806602013281,0.03933305102313654
unit_rgb,generalized_translation,multiple_forces,1,0.055132416929932364,0.04506533870327663
unit_rgb,generalized_translation,multiple_forces,2,N/A,N/A
unit_rgb,generalized_translation,unforced_slide,0,N/A,N/A
unit_rgb,generalized_translation,unforced_slide,1,0.013711391836712664,0.010332760030419098
unit_rgb,generalized_translation,unforced_slide,2,N/A,N/A
unit_rgb,generalized_translation,bounce,0,N/A,N/A
unit_rgb,generalized_translation,bounce,1,N/A,N/A
unit_rgb,generalized_translation,bounce,2,0.012566392549518954,0.0035915500094358893
unit_rgb,setup_translation,multiple_forces,0,0.04639806602013281,0.03933305102313654
unit_rgb,setup_translation,multiple_forces,1,0.055132416929932364,0.04506533870327663
unit_rgb,setup_translation,multiple_forces,2,N/A,N/A
unit_rgb,setup_translation,unforced_slide,0,N/A,N/A
unit_rgb,setup_translation,unforced_slide,1,0.013711391836712664,0.010332760030419098
unit_rgb,setup_translation,unforced_slide,2,N/A,N/A
unit_rgb,setup_translation,bounce,0,N/A,N/A
unit_rgb,setup_translation,bounce,1,N/A,N/A
unit_rgb,setup_translation,bounce,2,0.003943068694924508,0.0029950056705181204
huber_1.345_rgb,generalized_translation,multiple_forces,0,0.04639806602013281,0.03933305102313654
huber_1.345_rgb,generalized_translation,multiple_forces,1,0.055132416929932364,0.04506533870327663
huber_1.345_rgb,generalized_translation,multiple_forces,2,N/A,N/A
huber_1.345_rgb,generalized_translation,unforced_slide,0,N/A,N/A
huber_1.345_rgb,generalized_translation,unforced_slide,1,0.013711391836712664,0.010332760030419098
huber_1.345_rgb,generalized_translation,unforced_slide,2,N/A,N/A
huber_1.345_rgb,generalized_translation,bounce,0,N/A,N/A
huber_1.345_rgb,generalized_translation,bounce,1,N/A,N/A
huber_1.345_rgb,generalized_translation,bounce,2,0.005055516965604023,0.0030127089285015337
huber_1.345_rgb,setup_translation,multiple_forces,0,0.04639806602013281,0.03933305102313654
huber_1.345_rgb,setup_translation,multiple_forces,1,0.055132416929932364,0.04506533870327663
huber_1.345_rgb,setup_translation,multiple_forces,2,N/A,N/A
huber_1.345_rgb,setup_translation,unforced_slide,0,N/A,N/A
huber_1.345_rgb,setup_translation,unforced_slide,1,0.013711391836712664,0.010332760030419098
huber_1.345_rgb,setup_translation,unforced_slide,2,N/A,N/A
huber_1.345_rgb,setup_translation,bounce,0,N/A,N/A
huber_1.345_rgb,setup_translation,bounce,1,N/A,N/A
huber_1.345_rgb,setup_translation,bounce,2,0.004140917142126693,0.0030153515480627474
cauchy_2.385_rgb,generalized_translation,multiple_forces,0,0.04652074308023657,0.03953478097552184
cauchy_2.385_rgb,generalized_translation,multiple_forces,1,0.05524529373452172,0.045650106848291544
