method,regime,protocol,action_mm
unit_rgb,generalized_translation,multiple_forces,3.6331119202327793
unit_rgb,generalized_translation,unforced_slide,2.1560623383681743
unit_rgb,generalized_translation,bounce,0.79183538693658
unit_rgb,setup_translation,multiple_forces,3.6331119202327793
unit_rgb,setup_translation,unforced_slide,2.1560623383681743
unit_rgb,setup_translation,bounce,0.34474028526272477
huber_1.345_rgb,generalized_translation,multiple_forces,3.6331119202327793
huber_1.345_rgb,generalized_translation,unforced_slide,2.1560623383681743
huber_1.345_rgb,generalized_translation,bounce,0.5149998917864383
huber_1.345_rgb,setup_translation,multiple_forces,3.6331119202327793
huber_1.345_rgb,setup_translation,unforced_slide,2.1560623383681743
huber_1.345_rgb,setup_translation,bounce,0.35226640724970115
cauchy_2.385_rgb,generalized_translation,multiple_forces,3.638989626203251
cauchy_2.385_rgb,generalized_translation,unforced_slide,2.1690015181133795
cauchy_2.385_rgb,generalized_translation,bounce,0.5167607642461173
cauchy_2.385_rgb,setup_translation,multiple_forces,3.638989626203251
cauchy_2.385_rgb,setup_translation,unforced_slide,2.1690015181133795
cauchy_2.385_rgb,setup_translation,bounce,0.3556313038361716
v22_numeric,generalized_translation,multiple_forces,3.020341825552825
v22_numeric,generalized_translation,unforced_slide,0.9777269501519765
v22_numeric,generalized_translation,bounce,0.5149998917864383
v22_numeric,setup_translation,multiple_forces,3.020341825552825
v22_numeric,setup_translation,unforced_slide,0.9777269501519765
v22_numeric,setup_translation,bounce,0.30148163172301046
v22_vlm,generalized_translation,multiple_forces,2.9899253168298436
v22_vlm,generalized_translation,unforced_slide,0.9600829941283708
v22_vlm,generalized_translation,bounce,0.5149998917864383
v22_vlm,setup_translation,multiple_forces,2.9899253168298436
v22_vlm,setup_translation,unforced_slide,0.9600829941283708
v22_vlm,setup_translation,bounce,0.3037150262311281
legacy_qwen_warp_joint,generalized_translation,multiple_forces,3.9016417663219713
legacy_qwen_warp_joint,generalized_translation,unforced_slide,2.0022155942080175
legacy_qwen_warp_joint,generalized_translation,bounce,0.7921377129605914
legacy_qwen_warp_joint,setup_translation,multiple_forces,3.9016417663219713
legacy_qwen_warp_joint,setup_translation,unforced_slide,2.0022155942080175
legacy_qwen_warp_joint,setup_translation,bounce,0.3076266759387277
rgb_warp_joint,generalized_translation,multiple_forces,4.249429632316467
rgb_warp_joint,generalized_translation,unforced_slide,2.344330234086012
rgb_warp_joint,generalized_translation,bounce,0.7826569607194966
rgb_warp_joint,setup_translation,multiple_forces,4.249429632316467
rgb_warp_joint,setup_translation,unforced_slide,2.344330234086012
rgb_warp_joint,setup_translation,bounce,0.335869404462284
huber,generalized_translation,multiple_forces,3.0683127377202197
huber,generalized_translation,unforced_slide,2.0868932664497177
huber,generalized_translation,bounce,0.8337671199073553
huber,setup_translation,multiple_forces,3.0683127377202197
huber,setup_translation,unforced_slide,2.0868932664497177
huber,setup_translation,bounce,0.3447400895283066
cauchy,generalized_translation,multiple_forces,3.0682828466372363
cauchy,generalized_translation,unforced_slide,2.086901477701164
cauchy,generalized_translation,bounce,0.8248494435605725
cauchy,setup_translation,multiple_forces,3.0682828466372363
cauchy,setup_translation,unforced_slide,2.086901477701164
cauchy,setup_translation,bounce,0.3447428181918705
profile_map,generalized_translation,multiple_forces,2.8935148718011074
profile_map,generalized_translation,unforced_slide,2.0712497935274454
profile_map,generalized_translation,bounce,0.664873466347257
profile_map,setup_translation,multiple_forces,2.8935148718011074
profile_map,setup_translation,unforced_slide,2.0712497935274454
profile_map,setup_translation,bounce,0.3444881050410141
