method,regime,protocol,engine_mm
huber_1.345_rgb,generalized_translation,multiple_forces,3.655072762571731
huber_1.345_rgb,generalized_translation,unforced_slide,2.160589815933379
huber_1.345_rgb,generalized_translation,bounce,0.9755877413340893
huber_1.345_rgb,setup_translation,multiple_forces,3.655072762571731
huber_1.345_rgb,setup_translation,unforced_slide,2.160589815933379
huber_1.345_rgb,setup_translation,bounce,0.810020100714136
v22_numeric,generalized_translation,multiple_forces,3.0670956849783106
v22_numeric,generalized_translation,unforced_slide,0.9803285583873225
v22_numeric,generalized_translation,bounce,0.9755877413340893
v22_numeric,setup_translation,multiple_forces,3.0670956849783106
v22_numeric,setup_translation,unforced_slide,0.9803285583873225
v22_numeric,setup_translation,bounce,0.6524607661255359
v22_vlm,generalized_translation,multiple_forces,3.0340423079237504
v22_vlm,generalized_translation,unforced_slide,0.9626086961351948
v22_vlm,generalized_translation,bounce,0.9755877413340893
v22_vlm,setup_translation,multiple_forces,3.0340423079237504
v22_vlm,setup_translation,unforced_slide,0.9626086961351948
v22_vlm,setup_translation,bounce,0.6653980342144664
