cohort,beta,action_mm,nll,crps,coverage90,projected_diameter
development,0,1.3522310301768836,-2.1730516422748334,0.013610346814691263,0.9719696969696969,0.16009050687873538
development,0.025,1.3522310301768836,-2.1741630361855027,0.013610895965473165,0.9729797979797981,0.16011144384855236
development,0.05,1.3522310301768836,-2.176528330284015,0.013612545769330393,0.9734848484848486,0.1601741975055683
development,0.1,1.3522310301768836,-2.1795496711715403,0.013619179313368517,0.9755050505050507,0.1604243634223364
development,0.2,1.3522310301768836,-2.1728509288059112,0.013646208660437417,0.977020202020202,0.1614120388374452
evaluation,0,1.4531219233223358,-2.5324725897894313,0.013102719659594187,0.9680555555555557,0.1591876197647813
evaluation,0.025,1.4531219233223358,-2.5343888993902306,0.01310337502609709,0.9708333333333332,0.15920993316584497
evaluation,0.05,1.4531219233223358,-2.538692191438046,0.013105342677241068,0.9717592592592594,0.15927681738832405
evaluation,0.1,1.4531219233223358,-2.5459381981639906,0.01311323587001741,0.9736111111111112,0.15954352343932776
evaluation,0.2,1.4531219233223358,-2.543325218822934,0.01314513081906734,0.977314814814815,0.16059757757867046
