metric,comparison,difference_mm,low95_mm,high95_mm,p_signflip,n_families,p_holm
family action MAE,unit_rgb minus original_full,0.6660321082445361,0.47061028873686134,0.8765333992271721,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,unit_rgb minus original_numeric,0.6503841857470266,0.45440583945231977,0.8604562109846302,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,huber_1.345_rgb minus original_full,0.621147212717342,0.4282831907914658,0.8317679205588248,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,huber_1.345_rgb minus original_numeric,0.6054992902198324,0.4124701317889414,0.8157910603803548,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,cauchy_2.385_rgb minus original_full,0.6282738027969257,0.4350912021114809,0.8388262357479527,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,cauchy_2.385_rgb minus original_numeric,0.6126258802994161,0.41903830324562497,0.8223135919001384,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,legacy_qwen_warp_joint minus original_full,0.698124595004217,0.511848924223356,0.8938813022437598,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,legacy_qwen_warp_joint minus original_numeric,0.6824766725067073,0.4922799403835333,0.8814440366219453,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,rgb_warp_joint minus original_full,0.9312190930087902,0.7052735729434199,1.1665922010730003,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,rgb_warp_joint minus original_numeric,0.9155711705112807,0.6874717864096633,1.150827767179579,4.999750012499375e-05,72,0.0029498525073746312
family action MAE,v22_numeric minus original_full,0.015647922497509584,-0.0005728181291350042,0.0308781886624087,0.05409729513524324,72,1
family action MAE,v22_vlm minus original_numeric,-0.015647922497509584,-0.030878188662408716,0.0005728181291350031,0.05409729513524324,72,1
family action MAE,support_pooled_only minus original_full,0.015424160103934666,0.0069488776380532006,0.023852791012408184,0.00044997750112494374,72,0.016199190040497975
family action MAE,support_pooled_only minus original_numeric,-0.00022376239357491806,-0.012289076475693033,0.01220132198083101,0.9732013399330034,72,1
family action MAE,support_motion_only minus original_full,-0.0013597510257281511,-0.013672423651480801,0.009789207729118036,0.8285585720713964,72,1
family action MAE,support_motion_only minus original_numeric,-0.017007673523237735,-0.02984115034022447,-0.005265772519183836,0.006349682515874206,72,0.17779111044447776
