episode,regime,protocol,converged,calls,boundary,nuisance_rank,nuisance_dim,objective
000f45b4c14a6555ad7ba519,generalized_translation,bounce,True,7,False,3,3,0.3137483716052786
000f45b4c14a6555ad7ba519,setup_translation,bounce,True,13,False,1,1,0.5603189924543626
00d2380a34374b3422379c80,generalized_translation,multiple_forces,True,19,False,2,2,2.072945404230611
0162ffbc7314fa26b0902775,generalized_translation,multiple_forces,True,6,False,2,2,1.8668798190018407
0169455d0a4453d4b97b1d38,generalized_translation,multiple_forces,True,22,False,2,2,1.3595136843766706
0200bfd1b5ecb7df7c060806,generalized_translation,unforced_slide,True,6,False,2,2,0.9031255941301586
020c937c562911454bb27dfc,generalized_translation,unforced_slide,True,11,False,2,2,1.649081145290126
02a20c3874ec9c65b25efcad,generalized_translation,multiple_forces,True,16,False,2,2,1.314807736271084
02f1cac934264cf55582acd2,generalized_translation,multiple_forces,True,7,False,2,2,0.4014683768977332
030d52257c4ea1e340c938cc,generalized_translation,bounce,True,8,False,3,3,28.037965779761645
030d52257c4ea1e340c938cc,setup_translation,bounce,True,5,False,1,1,0.8356050864087634
032c8a9a77a20ebc81868a34,generalized_translation,unforced_slide,True,10,False,2,2,1.0618779337888482
03fad80b24c74c43aa179ec8,generalized_translation,multiple_forces,True,5,False,2,2,0.8303388694378679
04436c226ef7ca9fe28e7f74,generalized_translation,multiple_forces,True,16,False,2,2,1.435265884498456
0451b9060958afa436fc7839,generalized_translation,bounce,True,8,False,3,3,0.8060769309796276
0451b9060958afa436fc7839,setup_translation,bounce,True,13,False,1,1,1.9929666595499955
048155a27ac0d7016e527361,generalized_translation,multiple_forces,True,12,False,2,2,1.3111600326361763
0500d6c92019364fd4a1bae8,generalized_translation,multiple_forces,True,9,False,2,2,0.943889192681193
052d9cf739af17b447bf29fa,generalized_translation,bounce,True,10,False,3,3,0.5932946701562525
052d9cf739af17b447bf29fa,setup_translation,bounce,True,3,False,1,1,1.961734709392881
05670b06ce9094a0fbda6367,generalized_translation,unforced_slide,True,5,False,2,2,0.4518552300799263
059b899b8896d727311f752d,generalized_translation,unforced_slide,True,10,False,2,2,0.55219739650859
05b5df226ac996c259bcfa59,generalized_translation,bounce,True,7,False,3,3,1.4445607221515695
05b5df226ac996c259bcfa59,setup_translation,bounce,True,9,False,1,1,1.5441460405770906
05b9b5e6d0883db2c84b3560,generalized_translation,unforced_slide,True,8,False,2,2,2.2991619207159415
05c4a4bf0aad5cc418f6b6bf,generalized_translation,unforced_slide,True,8,False,2,2,0.7773790015923888
06acaaec409d041c4ecca6e5,generalized_translation,multiple_forces,True,7,False,2,2,0.7145673083950868
06ed19cae9b77eadb7048661,generalized_translation,bounce,True,6,False,3,3,0.1720573412822289
06ed19cae9b77eadb7048661,setup_translation,bounce,True,9,False,1,1,0.17983103276793558
0702bd8167b8f647ece9d030,generalized_translation,unforced_slide,True,11,False,2,2,0.7001654903948115
078f9aafa4f9e23e2492f753,generalized_translation,bounce,True,9,False,3,3,0.5190004686376457
078f9aafa4f9e23e2492f753,setup_translation,bounce,True,4,False,1,1,1.679728742311255
078fd6e9dcc84b3916469b73,generalized_translation,multiple_forces,True,21,False,2,2,2.009680035638658
07c20714da30356a79eb4162,generalized_translation,bounce,True,6,False,3,3,0.44159627243423233
07c20714da30356a79eb4162,setup_translation,bounce,True,3,False,1,1,0.49597321062937627
07d0329b191ba1743e6b851f,generalized_translation,unforced_slide,True,7,False,2,2,0.24487378732070197
0821a610908be53288040c4a,generalized_translation,unforced_slide,True,9,False,2,2,1.6551771338384587
08332cf3ddf7e139c1450fda,generalized_translation,multiple_forces,True,19,False,2,2,1.669762137545339
085db578286e17344de3080c,generalized_translation,multiple_forces,True,15,False,2,2,1.9572868351188382
086eaae9afc61237661afe3f,generalized_translation,unforced_slide,True,14,False,2,2,2.0423287971244592
089d44308b0b16f6c9642b6e,generalized_translation,bounce,True,7,False,3,3,0.4430866895928589
089d44308b0b16f6c9642b6e,setup_translation,bounce,True,14,False,1,1,0.6214024904540767
08e08fb537915e5615f59ff8,generalized_translation,unforced_slide,True,6,False,2,2,0.6022660498799872
08ee26d7fd3d9cc644e25c9c,generalized_translation,unforced_slide,True,10,False,2,2,1.0618779337888482
08fa0bd7709e3d02fcc9c671,generalized_translation,multiple_forces,True,8,False,2,2,0.36743286106125495
08fd72196c805b534497921d,generalized_translation,multiple_forces,True,10,False,2,2,0.47800246765480653
092b0c80797e8497d883aa03,generalized_translation,bounce,True,6,False,3,3,0.16711104754254932
092b0c80797e8497d883aa03,setup_translation,bounce,True,4,False,1,1,0.5829574229293112
092b4b85d9ded34a19106a98,generalized_translation,bounce,True,7,False,3,3,0.1540455372129172
092b4b85d9ded34a19106a98,setup_translation,bounce,True,6,False,1,1,0.7484194339355542
0948c8266d8fc105ca06b3aa,generalized_translation,multiple_forces,True,13,False,2,2,0.4504311535400082
098f6eb6986dd1bc2f99cdc1,generalized_translation,unforced_slide,True,7,False,2,2,3.1044846443267033
0a31698483a14d228791019b,generalized_translation,multiple_forces,True,7,False,2,2,0.45683156729998
0a4aa585e764277c6dd0b045,generalized_translation,unforced_slide,True,8,False,2,2,1.0462457821735658
0a4e7c583f6b08ce6477d7a3,generalized_translation,bounce,True,7,False,3,3,0.8975838697478884
0a4e7c583f6b08ce6477d7a3,setup_translation,bounce,True,4,False,1,1,1.0322191759372332
0a5f6a3234299fd982d32fac,generalized_translation,multiple_forces,True,15,False,2,2,1.6255646679779283
0aac37ad0b8193a1f85eeefc,generalized_translation,bounce,True,4,False,3,3,0.08385828457662553
0aac37ad0b8193a1f85eeefc,setup_translation,bounce,True,4,False,1,1,4.08461510540661
0b23592aa92d3f0e83181cfa,generalized_translation,multiple_forces,True,9,False,2,2,0.9073992608212557
0b8b637795fd965eea6917fd,generalized_translation,multiple_forces,True,14,False,2,2,0.8835863398907448
0bd0536d0cd3fd9ffe733649,generalized_translation,bounce,True,7,False,3,3,0.4430866895928589
0bd0536d0cd3fd9ffe733649,setup_translation,bounce,True,14,False,1,1,0.6214024904540767
0c12707c05f72159da5135d0,generalized_translation,bounce,True,9,False,3,3,0.5589566962481232
0c12707c05f72159da5135d0,setup_translation,bounce,True,3,False,1,1,0.6272853483176205
0c6ee32f98a6c7cf18290659,generalized_translation,unforced_slide,True,6,False,2,2,0.4763951574900642
0c7a80b63187427d2a17541a,generalized_translation,bounce,True,13,False,3,3,1.8460919705685537
0c7a80b63187427d2a17541a,setup_translation,bounce,True,12,False,1,1,2.0974223233636886
0cb645b8bebe58176b3f0ce8,generalized_translation,unforced_slide,True,8,False,2,2,0.9261084067216511
0cd9415df33d4764f21956d1,generalized_translation,multiple_forces,True,31,False,2,2,1.1822766763084325
0cf0d884256bf4ea2c323bbb,generalized_translation,unforced_slide,True,6,False,2,2,0.16077273099548792
0da16f14e2fc8e0b30c9214b,generalized_translation,multiple_forces,True,6,False,2,2,0.08116509959388175
0dc5ca70dcd804f7ceb92488,generalized_translation,bounce,True,7,False,3,3,1.0656798000914236
0dc5ca70dcd804f7ceb92488,setup_translation,bounce,True,4,False,1,1,3.9396402166847615
0df782cc692c4b7e0a677c9c,generalized_translation,multiple_forces,True,19,False,2,2,1.155964858775285
0e82af60ab3d702432094ee9,generalized_translation,multiple_forces,True,19,False,2,2,1.5127324114114526
0ea9dee9e1a0c87c05932d1c,generalized_translation,bounce,True,7,False,3,3,1.520326542670409
0ea9dee9e1a0c87c05932d1c,setup_translation,bounce,True,12,False,1,1,2.9997599159287844
0f449c56e6c849035b10b3de,generalized_translation,bounce,True,6,False,3,3,0.5105596105261719
0f449c56e6c849035b10b3de,setup_translation,bounce,True,4,False,1,1,1.1271597369173025
0f9641226afb460c717e0a33,generalized_translation,unforced_slide,True,10,False,2,2,2.080470164120395
0fd4cc3d63d3725fa3b6c8c9,generalized_translation,multiple_forces,True,18,False,2,2,2.074184063844212
108366890954ad45c2205682,generalized_translation,bounce,True,9,False,3,3,0.16773718565948842
108366890954ad45c2205682,setup_translation,bounce,True,7,False,1,1,0.7959488691165567
10ebd4fd46b5d97220885c46,generalized_translation,multiple_forces,True,11,False,2,2,0.3749918757208771
110110d99c079e8b0ecc398e,generalized_translation,unforced_slide,True,7,False,2,2,0.18332790535051968
110bc2b07f3d72bf7e515483,generalized_translation,multiple_forces,True,9,False,2,2,1.6203537523665577
