arm,stage,rho,low95,high95,degenerate_bootstrap_draws
combined,original,-0.7000000000000001,-0.9720930232558139,-0.12149532710280374,0
combined,noise_normalized,-0.7000000000000001,-0.9720930232558139,-0.12149532710280374,0
pooled,original,0.02727272727272728,-0.5714285714285714,0.7345971563981043,0
pooled,noise_normalized,0.02727272727272728,-0.5714285714285714,0.7345971563981043,0
position,original,-0.45454545454545453,-0.9444444444444444,0.3055555555555556,0
position,noise_normalized,-0.45454545454545453,-0.9444444444444444,0.3055555555555556,0
kinematic_short,original,0.1272727272727273,-0.7129629629629629,0.7934513623798847,0
kinematic_short,noise_normalized,0.1272727272727273,-0.7129629629629629,0.7934513623798847,0
bridge_152frame,original,0.3545454545454546,-0.411214953271028,0.8685446009389671,0
bridge_152frame,normalized,0.3545454545454546,-0.411214953271028,0.8685446009389671,0
scalar_152frame,original,0.4272727272727273,-0.31,0.9061032863849765,0
scalar_152frame,normalized,0.4272727272727273,-0.31,0.9061032863849765,0
