arm,numeric_penalty,visual_penalty,dev_mm
numeric87,0.1,0,1.365666465207032
numeric87,1.0,0,1.3717864004669542
numeric87,10.0,0,1.5429518721579443
qwen87,0.1,1.0,1.348937758412719
qwen87,0.1,10.0,1.3479166816479813
qwen87,0.1,100.0,1.3503375992065274
flow87,0.1,1.0,1.3520158443322365
flow87,0.1,10.0,1.3563306453354511
flow87,0.1,100.0,1.3607426394775501
pixels87,0.1,1.0,1.3674402552165241
pixels87,0.1,10.0,1.3665337625410057
pixels87,0.1,100.0,1.365953113022257
vjepa87,0.1,1.0,1.3780780474526328
vjepa87,0.1,10.0,1.3756076947983817
vjepa87,0.1,100.0,1.3700714129069016
