scale,nominal,empirical_coverage
0,0.5,0.825
0,0.6,0.8856481481481482
0,0.7,0.9296296296296297
0,0.8,0.949537037037037
0,0.9,0.9680555555555557
0,0.95,0.9726851851851852
0,0.99,0.976388888888889
0.05,0.5,0.8296296296296297
0.05,0.6,0.8930555555555555
0.05,0.7,0.9324074074074076
0.05,0.8,0.949537037037037
0.05,0.9,0.9717592592592594
0.05,0.95,0.9745370370370371
0.05,0.99,0.9800925925925925
0.1,0.5,0.837962962962963
0.1,0.6,0.899537037037037
0.1,0.7,0.9333333333333333
0.1,0.8,0.9569444444444444
0.1,0.9,0.9736111111111112
0.1,0.95,0.9763888888888889
0.1,0.99,0.9828703703703705
0.2,0.5,0.8500000000000001
0.2,0.6,0.9101851851851852
0.2,0.7,0.9444444444444444
0.2,0.8,0.9662037037037037
0.2,0.9,0.977314814814815
0.2,0.95,0.9810185185185186
0.2,0.99,0.9875
