cohort,variant,action_mm,nll,crps,coverage90,projected_diameter
development,numeric,1.371928235861565,-2.1751733466698115,0.013603724820296354,0.975,0.16042413383711313
confirmation,numeric,1.4687698458198468,-2.542391078458084,0.013136130507340488,0.9736111111111112,0.15954252748346437
development,full,1.3522310301768836,-2.1795496711715403,0.013619179313368517,0.9755050505050507,0.1604243634223364
confirmation,full,1.4531219233223358,-2.5459381981639906,0.01311323587001741,0.9736111111111112,0.15954352343932776
development,pooled_only,1.3677869728787972,-2.176935953430398,0.013630340498157562,0.975,0.16042298796315996
confirmation,pooled_only,1.4685460834262676,-2.543766555274642,0.013130219598559029,0.9736111111111112,0.1595408522139623
development,motion_only,1.3518502686820217,-2.179145605183817,0.013603878014591172,0.9755050505050507,0.1604254060864958
confirmation,motion_only,1.4517621722966045,-2.54502716913728,0.01311199357407681,0.9736111111111112,0.15954514395863786
development,direct_visual_target,1.3654555921972302,-2.177671538464642,0.013768593563241024,0.9755050505050507,0.16045599450853446
confirmation,direct_visual_target,1.475367938256344,-2.5438787629508837,0.013196810998751064,0.9736111111111112,0.15956782377553091
development,no_clipping,1.3647259984285034,-2.1792166026517914,0.013628768578543572,0.9744949494949496,0.16042846203861433
confirmation,no_clipping,1.4840639057018739,-2.5443812856585715,0.01316536779242922,0.9736111111111112,0.15955186664911047
development,no_bounce_fallback,1.4012749290844448,-2.15744585053439,0.013918805747537158,0.9643939393939396,0.16044024826171321
confirmation,no_bounce_fallback,1.4947710673066346,-2.561787239876187,0.01332381133283632,0.9625000000000001,0.15955558708079104
